ANIO;MES;CONSUMO_TOTAL_KWH
2022;11;5512457.0
2022;12;5459201.4889
2023;1;5471722.976499999
2023;2;5055593.245
2023;3;5486270.236400001
2023;4;5405543.980199999
2023;5;5660880.0200000005
2023;6;5355149.185
2023;7;5629398.548999999
2023;8;5703060.005
2023;9;5483815.2225
2023;10;5719636.515199999
2023;11;5588233.15
2023;12;5634808.0028
2024;1;5757569.4878
2024;2;5393784.8479
2024;3;5758151.5499
2024;4;5795064.0768
2024;5;5763535.726
2024;6;5732007.3752
2024;7;6006208.171499999
2024;8;5936980.3297
2024;9;5931698.156999999
2024;10;5962377.9832
2024;11;5822577.980100001
2024;12;5208828.679999999